seas,yr,total,anom,enso_phase
FMA,2010,28.22,0.88,el_nino
MAM,2010,28.11,0.38,neutral
AMJ,2010,27.72,-0.16,neutral
MJJ,2010,27.03,-0.66,la_nina
JJA,2010,26.34,-0.98,la_nina
JAS,2010,25.74,-1.24,la_nina
ASO,2010,25.37,-1.43,la_nina
SON,2010,25.21,-1.54,la_nina
OND,2010,25.14,-1.57,la_nina
NDJ,2010,25.14,-1.48,la_nina
DJF,2011,25.28,-1.29,la_nina
JFM,2011,25.72,-1.06,la_nina
FMA,2011,26.37,-0.85,la_nina
MAM,2011,26.95,-0.68,la_nina
AMJ,2011,27.29,-0.5,la_nina
MJJ,2011,27.29,-0.34,neutral
JJA,2011,26.92,-0.37,neutral
JAS,2011,26.45,-0.5,la_nina
ASO,2011,26.0,-0.76,la_nina
SON,2011,25.77,-0.94,la_nina
OND,2011,25.63,-1.02,la_nina
NDJ,2011,25.64,-0.92,la_nina
DJF,2012,25.84,-0.71,la_nina
JFM,2012,26.22,-0.56,la_nina
FMA,2012,26.79,-0.44,neutral
MAM,2012,27.29,-0.35,neutral
AMJ,2012,27.62,-0.18,neutral
MJJ,2012,27.66,0.03,neutral
JJA,2012,27.57,0.28,neutral
JAS,2012,27.35,0.39,neutral
ASO,2012,27.13,0.37,neutral
SON,2012,26.99,0.28,neutral
OND,2012,26.78,0.13,neutral
NDJ,2012,26.53,-0.03,neutral
DJF,2013,26.3,-0.24,neutral
JFM,2013,26.5,-0.28,neutral
FMA,2013,27.0,-0.23,neutral
MAM,2013,27.43,-0.2,neutral
AMJ,2013,27.49,-0.3,neutral
MJJ,2013,27.24,-0.38,neutral
JJA,2013,26.84,-0.45,neutral
JAS,2013,26.61,-0.34,neutral
ASO,2013,26.45,-0.32,neutral
SON,2013,26.57,-0.14,neutral
OND,2013,26.53,-0.12,neutral
NDJ,2013,26.45,-0.11,neutral
DJF,2014,26.31,-0.24,neutral
JFM,2014,26.57,-0.21,neutral
FMA,2014,27.21,-0.02,neutral
MAM,2014,27.88,0.25,neutral
AMJ,2014,28.14,0.35,neutral
MJJ,2014,27.84,0.22,neutral
JJA,2014,27.36,0.07,neutral
JAS,2014,27.03,0.07,neutral
ASO,2014,27.0,0.24,neutral
SON,2014,27.22,0.51,el_nino
OND,2014,27.35,0.7,el_nino
NDJ,2014,27.36,0.8,el_nino
DJF,2015,27.28,0.73,el_nino
JFM,2015,27.43,0.65,el_nino
FMA,2015,27.95,0.72,el_nino
MAM,2015,28.49,0.86,el_nino
AMJ,2015,28.83,1.04,el_nino
MJJ,2015,28.82,1.19,el_nino
JJA,2015,28.73,1.44,el_nino
JAS,2015,28.69,1.73,el_nino
ASO,2015,28.79,2.02,el_nino
SON,2015,28.99,2.28,el_nino
OND,2015,29.1,2.45,el_nino
NDJ,2015,29.15,2.59,el_nino
DJF,2016,29.05,2.5,el_nino
JFM,2016,28.99,2.21,el_nino
FMA,2016,28.92,1.69,el_nino
MAM,2016,28.74,1.11,el_nino
AMJ,2016,28.37,0.57,el_nino
MJJ,2016,27.72,0.09,neutral
JJA,2016,27.1,-0.19,neutral
JAS,2016,26.62,-0.34,neutral
ASO,2016,26.34,-0.42,neutral
SON,2016,26.2,-0.51,la_nina
OND,2016,26.16,-0.49,neutral
NDJ,2016,26.19,-0.37,neutral
DJF,2017,26.47,-0.08,neutral
JFM,2017,26.86,0.08,neutral
FMA,2017,27.5,0.27,neutral
MAM,2017,27.95,0.32,neutral
AMJ,2017,28.15,0.35,neutral
MJJ,2017,27.94,0.32,neutral
JJA,2017,27.43,0.14,neutral
JAS,2017,26.89,-0.07,neutral
ASO,2017,26.54,-0.23,neutral
SON,2017,26.27,-0.44,neutral
OND,2017,26.04,-0.61,la_nina
NDJ,2017,25.8,-0.76,la_nina
DJF,2018,25.83,-0.71,la_nina
JFM,2018,26.11,-0.67,la_nina
FMA,2018,26.68,-0.55,la_nina
MAM,2018,27.28,-0.35,neutral
AMJ,2018,27.72,-0.07,neutral
MJJ,2018,27.76,0.13,neutral
JJA,2018,27.49,0.2,neutral
JAS,2018,27.25,0.3,neutral
ASO,2018,27.28,0.52,el_nino
SON,2018,27.53,0.82,el_nino
OND,2018,27.69,1.04,el_nino
NDJ,2018,27.61,1.05,el_nino
DJF,2019,27.54,0.99,el_nino
JFM,2019,27.72,0.94,el_nino
FMA,2019,28.1,0.87,el_nino
MAM,2019,28.45,0.82,el_nino
AMJ,2019,28.5,0.71,el_nino
MJJ,2019,28.21,0.59,el_nino
JJA,2019,27.67,0.38,neutral
JAS,2019,27.16,0.2,neutral
ASO,2019,27.07,0.31,neutral
SON,2019,27.22,0.51,el_nino
OND,2019,27.37,0.72,el_nino
NDJ,2019,27.31,0.75,el_nino
DJF,2020,27.25,0.71,el_nino
JFM,2020,27.44,0.66,el_nino
FMA,2020,27.8,0.57,el_nino
MAM,2020,27.97,0.33,neutral
AMJ,2020,27.83,0.04,neutral
MJJ,2020,27.45,-0.18,neutral
JJA,2020,27.0,-0.29,neutral
JAS,2020,26.52,-0.43,neutral
ASO,2020,25.99,-0.77,la_nina
SON,2020,25.71,-1.0,la_nina
OND,2020,25.54,-1.11,la_nina
NDJ,2020,25.5,-1.06,la_nina
DJF,2021,25.55,-0.99,la_nina
JFM,2021,25.92,-0.85,la_nina
FMA,2021,26.48,-0.74,la_nina
MAM,2021,27.07,-0.56,la_nina
AMJ,2021,27.39,-0.4,neutral
MJJ,2021,27.31,-0.31,neutral
JJA,2021,26.95,-0.35,neutral
JAS,2021,26.49,-0.46,neutral
ASO,2021,26.13,-0.64,la_nina
SON,2021,25.94,-0.77,la_nina
OND,2021,25.74,-0.91,la_nina
NDJ,2021,25.73,-0.83,la_nina
DJF,2022,25.79,-0.76,la_nina
JFM,2022,26.09,-0.68,la_nina
FMA,2022,26.46,-0.77,la_nina
MAM,2022,26.77,-0.86,la_nina
AMJ,2022,26.96,-0.83,la_nina
MJJ,2022,26.9,-0.73,la_nina
JJA,2022,26.59,-0.7,la_nina
JAS,2022,26.18,-0.78,la_nina
ASO,2022,25.89,-0.87,la_nina
SON,2022,25.82,-0.89,la_nina
OND,2022,25.83,-0.82,la_nina
NDJ,2022,25.86,-0.7,la_nina
DJF,2023,26.0,-0.55,la_nina
JFM,2023,26.45,-0.33,neutral
FMA,2023,27.12,-0.11,neutral
MAM,2023,27.82,0.19,neutral
AMJ,2023,28.25,0.46,neutral
MJJ,2023,28.36,0.73,el_nino
JJA,2023,28.29,1.0,el_nino
JAS,2023,28.21,1.25,el_nino
ASO,2023,28.26,1.5,el_nino
SON,2023,28.45,1.74,el_nino
OND,2023,28.55,1.9,el_nino
NDJ,2023,28.55,1.99,el_nino
DJF,2024,28.38,1.84,el_nino
JFM,2024,28.3,1.53,el_nino
FMA,2024,28.4,1.18,el_nino
MAM,2024,28.4,0.77,el_nino
AMJ,2024,28.23,0.43,neutral
MJJ,2024,27.8,0.18,neutral
JJA,2024,27.35,0.06,neutral
JAS,2024,26.92,-0.04,neutral
ASO,2024,26.64,-0.12,neutral
SON,2024,26.52,-0.19,neutral
OND,2024,26.35,-0.29,neutral
NDJ,2024,26.13,-0.43,neutral
DJF,2025,26.09,-0.46,neutral
JFM,2025,26.56,-0.22,neutral
FMA,2025,27.15,-0.08,neutral
MAM,2025,27.65,0.02,neutral
AMJ,2025,27.76,-0.04,neutral
MJJ,2025,27.61,-0.02,neutral
JJA,2025,27.18,-0.11,neutral
JAS,2025,26.7,-0.26,neutral
ASO,2025,26.33,-0.43,neutral
SON,2025,26.14,-0.57,la_nina
OND,2025,26.04,-0.61,la_nina
NDJ,2025,25.96,-0.6,la_nina
DJF,2026,26.15,-0.39,neutral
JFM,2026,26.57,-0.21,neutral
FMA,2026,27.34,0.11,neutral
MAM,2026,28.09,0.46,neutral
AMJ,2026,28.74,0.95,el_nino
MJJ,2026,29.02,1.39,el_nino
JJA,2026,29.09,1.8,el_nino
