city,country,lat,lon,year,month,t2m,precip
Tandil,AR,-37.32,-59.13,1987,12,17.75,4.02
Tandil,AR,-37.32,-59.13,1987,13,13.6,2.85
Tandil,AR,-37.32,-59.13,1988,1,21.04,3.57
Tandil,AR,-37.32,-59.13,1988,2,20.07,2.61
Tandil,AR,-37.32,-59.13,1988,3,19.05,4.86
Tandil,AR,-37.32,-59.13,1988,4,12.15,1.35
Tandil,AR,-37.32,-59.13,1988,5,8.44,0.72
Tandil,AR,-37.32,-59.13,1988,6,6.73,0.22
Tandil,AR,-37.32,-59.13,1988,7,5.31,0.4
Tandil,AR,-37.32,-59.13,1988,8,8.03,2.62
Tandil,AR,-37.32,-59.13,1988,9,9.7,2.84
Tandil,AR,-37.32,-59.13,1988,10,11.71,2.68
Tandil,AR,-37.32,-59.13,1988,11,17.66,2.31
Tandil,AR,-37.32,-59.13,1988,12,20.9,2.68
Tandil,AR,-37.32,-59.13,1988,13,13.38,2.24
Tandil,AR,-37.32,-59.13,1989,1,23.7,2.23
Tandil,AR,-37.32,-59.13,1989,2,21.49,3.6
Tandil,AR,-37.32,-59.13,1989,3,17.91,2.38
Tandil,AR,-37.32,-59.13,1989,4,15.0,0.42
Tandil,AR,-37.32,-59.13,1989,5,10.67,3.42
Tandil,AR,-37.32,-59.13,1989,6,8.11,2.48
Tandil,AR,-37.32,-59.13,1989,7,6.52,1.75
Tandil,AR,-37.32,-59.13,1989,8,9.46,2.48
Tandil,AR,-37.32,-59.13,1989,9,8.86,2.77
Tandil,AR,-37.32,-59.13,1989,10,12.93,1.87
Tandil,AR,-37.32,-59.13,1989,11,17.18,1.79
Tandil,AR,-37.32,-59.13,1989,12,21.8,5.24
Tandil,AR,-37.32,-59.13,1989,13,14.44,2.53
Tandil,AR,-37.32,-59.13,1990,1,20.99,7.02
Tandil,AR,-37.32,-59.13,1990,2,20.0,2.34
Tandil,AR,-37.32,-59.13,1990,3,16.84,4.79
Tandil,AR,-37.32,-59.13,1990,4,12.78,1.49
Tandil,AR,-37.32,-59.13,1990,5,9.29,4.91
Tandil,AR,-37.32,-59.13,1990,6,6.08,0.06
Tandil,AR,-37.32,-59.13,1990,7,6.37,1.34
Tandil,AR,-37.32,-59.13,1990,8,9.66,0.56
Tandil,AR,-37.32,-59.13,1990,9,9.25,1.23
Tandil,AR,-37.32,-59.13,1990,10,15.29,5.16
Tandil,AR,-37.32,-59.13,1990,11,17.3,4.54
Tandil,AR,-37.32,-59.13,1990,12,19.1,3.61
Tandil,AR,-37.32,-59.13,1990,13,13.55,3.11
Tandil,AR,-37.32,-59.13,1991,1,22.09,3.09
Tandil,AR,-37.32,-59.13,1991,2,19.39,4.7
Tandil,AR,-37.32,-59.13,1991,3,18.24,2.92
Tandil,AR,-37.32,-59.13,1991,4,14.55,2.12
Tandil,AR,-37.32,-59.13,1991,5,11.73,1.53
Tandil,AR,-37.32,-59.13,1991,6,6.49,5.29
Tandil,AR,-37.32,-59.13,1991,7,5.77,0.68
Tandil,AR,-37.32,-59.13,1991,8,8.93,0.86
Tandil,AR,-37.32,-59.13,1991,9,11.22,3.26
Tandil,AR,-37.32,-59.13,1991,10,11.85,3.88
Tandil,AR,-37.32,-59.13,1991,11,16.31,2.65
Tandil,AR,-37.32,-59.13,1991,12,19.07,3.55
Tandil,AR,-37.32,-59.13,1991,13,13.78,2.86
Tandil,AR,-37.32,-59.13,1992,1,20.81,4.7
Tandil,AR,-37.32,-59.13,1992,2,20.6,6.2
Tandil,AR,-37.32,-59.13,1992,3,19.03,5.57
Tandil,AR,-37.32,-59.13,1992,4,13.15,1.43
Tandil,AR,-37.32,-59.13,1992,5,9.38,2.67
Tandil,AR,-37.32,-59.13,1992,6,7.96,1.98
Tandil,AR,-37.32,-59.13,1992,7,4.49,1.67
Tandil,AR,-37.32,-59.13,1992,8,7.91,2.53
Tandil,AR,-37.32,-59.13,1992,9,9.97,1.54
Tandil,AR,-37.32,-59.13,1992,10,13.06,3.56
Tandil,AR,-37.32,-59.13,1992,11,13.94,2.71
Tandil,AR,-37.32,-59.13,1992,12,19.1,2.16
Tandil,AR,-37.32,-59.13,1992,13,13.27,3.06
Tandil,AR,-37.32,-59.13,1993,1,21.64,3.59
Tandil,AR,-37.32,-59.13,1993,2,20.74,2.14
Tandil,AR,-37.32,-59.13,1993,3,19.82,2.61
Tandil,AR,-37.32,-59.13,1993,4,13.8,7.72
Tandil,AR,-37.32,-59.13,1993,5,9.28,6.01
Tandil,AR,-37.32,-59.13,1993,6,7.32,3.63
Tandil,AR,-37.32,-59.13,1993,7,4.69,0.25
Tandil,AR,-37.32,-59.13,1993,8,7.55,0.13
Tandil,AR,-37.32,-59.13,1993,9,9.11,1.33
Tandil,AR,-37.32,-59.13,1993,10,13.19,2.16
Tandil,AR,-37.32,-59.13,1993,11,15.06,4.9
Tandil,AR,-37.32,-59.13,1993,12,18.86,2.3
Tandil,AR,-37.32,-59.13,1993,13,13.38,3.06
Tandil,AR,-37.32,-59.13,1994,1,20.56,5.49
Tandil,AR,-37.32,-59.13,1994,2,19.65,2.87
Tandil,AR,-37.32,-59.13,1994,3,18.4,3.9
Tandil,AR,-37.32,-59.13,1994,4,13.55,1.6
Tandil,AR,-37.32,-59.13,1994,5,11.14,2.56
Tandil,AR,-37.32,-59.13,1994,6,7.57,1.44
Tandil,AR,-37.32,-59.13,1994,7,5.76,2.34
Tandil,AR,-37.32,-59.13,1994,8,7.42,1.03
Tandil,AR,-37.32,-59.13,1994,9,10.21,1.35
Tandil,AR,-37.32,-59.13,1994,10,12.16,3.36
Tandil,AR,-37.32,-59.13,1994,11,17.67,2.21
Tandil,AR,-37.32,-59.13,1994,12,21.23,4.85
Tandil,AR,-37.32,-59.13,1994,13,13.75,2.76
Tandil,AR,-37.32,-59.13,1995,1,20.32,2.24
Tandil,AR,-37.32,-59.13,1995,2,19.16,2.83
Tandil,AR,-37.32,-59.13,1995,3,16.93,2.32
Tandil,AR,-37.32,-59.13,1995,4,13.54,3.55
Tandil,AR,-37.32,-59.13,1995,5,10.28,0.18
Tandil,AR,-37.32,-59.13,1995,6,6.1,0.21
Tandil,AR,-37.32,-59.13,1995,7,5.16,0.06
Tandil,AR,-37.32,-59.13,1995,8,6.91,0.69
Tandil,AR,-37.32,-59.13,1995,9,10.68,0.29
Tandil,AR,-37.32,-59.13,1995,10,12.81,2.29
Tandil,AR,-37.32,-59.13,1995,11,17.42,5.54
Tandil,AR,-37.32,-59.13,1995,12,21.18,1.89
Tandil,AR,-37.32,-59.13,1995,13,13.34,1.83
Tandil,AR,-37.32,-59.13,1996,1,21.23,3.09
Tandil,AR,-37.32,-59.13,1996,2,19.23,4.13
Tandil,AR,-37.32,-59.13,1996,3,18.73,2.89
Tandil,AR,-37.32,-59.13,1996,4,13.46,4.07
Tandil,AR,-37.32,-59.13,1996,5,10.56,1.43
Tandil,AR,-37.32,-59.13,1996,6,5.6,1.39
Tandil,AR,-37.32,-59.13,1996,7,5.26,0.92
Tandil,AR,-37.32,-59.13,1996,8,9.61,1.93
Tandil,AR,-37.32,-59.13,1996,9,9.6,0.98
Tandil,AR,-37.32,-59.13,1996,10,14.21,2.84
Tandil,AR,-37.32,-59.13,1996,11,17.59,3.36
Tandil,AR,-37.32,-59.13,1996,12,19.52,4.71
Tandil,AR,-37.32,-59.13,1996,13,13.71,2.64
Tandil,AR,-37.32,-59.13,1997,1,23.64,3.27
Tandil,AR,-37.32,-59.13,1997,2,18.37,5.81
Tandil,AR,-37.32,-59.13,1997,3,17.94,1.17
Tandil,AR,-37.32,-59.13,1997,4,14.95,2.57
Tandil,AR,-37.32,-59.13,1997,5,12.3,1.39
Tandil,AR,-37.32,-59.13,1997,6,8.17,3.25
Tandil,AR,-37.32,-59.13,1997,7,7.97,1.5
